B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4,Y
0,2.963978618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,2.062953974,0,0,0,0,0,0,N
0,1.408349072,0,0.477121255,0,0,0,0,0,0,0,0,0,3.444684443,0,0.301029996,N
0.301029996,1.61157353,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,3.118691333,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.200960356,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.532769472,0,0,N
0,0,0,0,0,0,0,0,0,2.931339283,0,0,0,0,0,0,N
0,3.400398708,0,0,0,0,1.132426758,0,0,0,0,0,0,0,0,0,N
0,3.142787837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,1.415851598,0,0,0,1.098113835,1.91467186,0.301029996,0,0,0,0,N
0,0,0,0,0,2.930505254,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.110019159,0,0,N
0.301029996,0,2.054357662,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,3.409187392,0,0,0,0,1.157206506,0,0,0,0,0,0,0,0,0,N
0.301029996,0,4.263486297,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,3.431117466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,2.010564602,0,-0.301029996,0,0,0,0,0,1.094571065,0,0.301029996,0,0,0,0,N
0,0,0,0,0,1.482731366,0,0.477121255,0,0,0,0,0,0,1.597653201,0,N
0.301029996,2.485465763,0,0,0.301029996,0,1.679349038,-0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.354848975,0,-0.301029996,N
0,0,0,0,0,0,1.468107256,0,0,0,1.25013126,0,0,0,0,0,N
0,0,0,0,0,0,1.737342661,0,0,0.799712539,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.644696903,0,0.301029996,0,0,2.656417654,0,N
0,0.495631288,0,0,0,0,0,0,0.301029996,3.377751804,0,-0.301029996,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.240240189,0,0.301029996,N
0,0,3.678499248,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,1.700811059,0,0.477121255,0.477121255,0,1.940265091,-0.477121255,0,0,0,0,0,0,3.39707055,0,N
0,0,3.710217388,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,1.673190234,0.301029996,0,0,3.494154594,0,0,0,0,0,N
0.477121255,0,3.47812563,-0.176091259,0.477121255,0,3.006015373,-0.477121255,0.301029996,1.992045725,2.144046682,0.301029996,0,0,0,0,N
0,0,0,0,0,0,3.001568332,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.895972713,0,0.301029996,N
0,1.501795618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.698970004,1.755358134,1.353073769,-0.22184875,0,0,2.142132979,0,0,0,0,0,0,0,0,0,N
0,0.532614854,0,0,0,0,0,0,0,0,0,0,0,3.68136802,0,0,N
0.301029996,0,3.454531791,0,0.602059991,2.177177587,2.12019834,-0.301029996,0,0,4.018345866,0.301029996,0,0,0,0,N
0.477121255,3.17356616,3.839854985,0,0.301029996,0,3.703346141,0,0.301029996,0,1.751633272,-0.301029996,0,0,0,0,N
0,0,0,0,0,0,0,0,0,3.118691333,0,0,0,0,0,0,N
0,0,0,0,0,1.483347223,0,0,0,0,0,0,0,0,3.885454931,0,N
0.301029996,3.089745848,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0.301029996,2.569386076,0,-0.301029996,0,0,1.205547459,0,N
0,0,0,0,0,0,0,0,0.301029996,3.217774402,0,-0.301029996,0,0,0,0,N
0,1.116931321,0,0,0.301029996,0,3.106596513,-0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,2.540075229,0,0,0,0,0,0,N
0,3.191974703,3.265008614,0.477121255,0,1.032669117,1.415134251,0.301029996,0,0,0,0,0,0,0,0,N
0,2.048890959,0,0.301029996,0,0,1.01301587,0,0,0,0,0,0.602059991,3.096040554,1.176218042,-0.301029996,N
0,0,0,0,0,3.077703568,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,1.437777464,0,0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,3.39707055,0,0,0,0,0,0,N
0,0,0,0,0,0,3.001568332,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,3.193772609,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.86171123,0,0,N
0,0,0,0,0.301029996,3.032397019,0,0,0,0,0,0,0,0,0,0,N
0.477121255,1.90162508,0,-0.176091259,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.408333676,0,0,N
0,0,0,0,0,1.200800633,0,0,0,0,0,0,0.301029996,0,1.931212421,-0.301029996,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.52455465,0,0.477121255,N
0,0,0,0,0,0,0,0,0.477121255,2.705891041,0,-0.176091259,0,0,0,0,N
0.301029996,2.330006146,0,-0.301029996,0,0,3.407626509,0,0,0,0,0,0,0,0,0,N
0.301029996,2.695584007,0,-0.301029996,0,3.193124598,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.198522983,0,-0.301029996,N
0,3.723687452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0.301029996,3.452928913,1.961567219,0,0,0,0,0,N
0,1.510688602,0,0,0,0,0,0,0.477121255,2.281205866,0,-0.477121255,0,0,0,0,N
0,1.913654589,0,0,0,0,0,0,0,0,0,0,0,0,2.656417654,0,N
0,1.963530126,0.495404867,0.77815125,0,0,0,0,0,0,1.569611447,0,0,0.96592021,0,0,N
0,0,0,0,0,0,0,0,0.301029996,1.514830248,0,-0.301029996,0,0,0,0,N
0,1.807574477,0,0,0,0,0,0,0,0,0,0,0,0,3.132866542,0,N
0,3.710217388,0,0,0,0,3.708656505,0,0,0,0,0,0,0,0,0,N
0,2.712766344,3.133538908,0.477121255,0,0,0,0,0.301029996,0,2.064412056,0.176091259,0.301029996,0,3.400239409,0,N
0,0,3.098997634,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,1.471330273,0,0,0,0,0,0,0,1.668404013,0,0,0,2.983868325,0,N
0,0,0,0,0,0,0,0,0,0,2.838805681,0,0,0,0,0,N
0.301029996,2.949390757,0,0.176091259,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,2.055149606,0,0.698970004,0,0,0,0,0,0,0,0,N
0,0,0,0,0,1.176091259,0,0,0,0,3.139879086,0,0,0,0,0,N
0.301029996,1.287332455,0,0,0,1.745853165,0.816747407,0.477121255,0,0,3.720751325,0,0.477121255,2.39624166,2.751394189,0,N
0,3.169302314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.602059991,3.495434478,0,-0.124938737,0,0,3.808674728,0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,1.400329359,0,0.301029996,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.040892596,0,0,N
0,3.384758869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0.301029996,3.39707055,0,-0.301029996,0,0,0,0,N
0,2.684964985,0,0,0,0,0,0,0,0,0,0,0,0,3.233938144,0,N
0,0,0,0,0,0,0,0,0,2.847857287,0,0.301029996,0,0,0,0,N
0,0,0,0,0,0,0,0,0.301029996,3.201660545,0,-0.301029996,0,0,0,0,N
0,2.706289848,0,0,0,3.407626509,0,0,0,0,0,0,0,0,0,0,N
0,1.704032602,1.22053252,0.903089987,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.587575776,0,0,N
0,0,0,0,0,0,0,0,0,0,2.979957039,0.301029996,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.470019712,0,0.301029996,N
0,0,0,0,0,3.245512668,0,0,0,0,0,0,0,0,0,0,N
0.301029996,1.326402022,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,3.268157915,0,0,0,0,0,0,N
0,2.015838581,0,0,0,0,0,0,0,0,0,0,0,0,3.378770989,0,N
0,3.390367187,0,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,3.13008747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,1.265848754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,1.840776319,0.477121255,0,0,3.461788282,0.301029996,0,0,0,0,0.477121255,0,2.905290168,0,N
0,3.26462429,0,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,3.138173761,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0.794480012,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,1.637470108,0,0,0,3.341922592,0,N
0,3.05608542,0,0.301029996,0,1.422842843,1.405816239,0.301029996,0,0,0,0,0,0,3.490480051,0.301029996,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.594768646,0,N
0,0,0,0,0,1.157794352,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,1.042138524,0,0,3.115372737,3.118691333,0.301029996,0,0,0,0,N
0.602059991,2.033218473,0,-0.124938737,0,0,3.140405056,0,0,0,0,0,0,0,0,0,N
0.301029996,2.696444905,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0.301029996,0,0.727159631,-0.301029996,0,0,1.627460565,0,0,0,2.174322309,0.301029996,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.741720651,0,0.301029996,N
0,3.493004698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.477121255,1.510733465,0.981707385,-0.176091259,0,0,0,0,0.301029996,0,3.13245919,0,0,3.778278033,3.487021483,0.301029996,N
0,0,3.512484877,0,0,0,3.383745137,0,0,0,3.394222979,0,0,0,3.372919897,0,N
0,3.297643998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,1.445399565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
